model,technique,token_f1,span_f1,span_f1_macro,span_precision,span_recall
deepseek-v4-flash,cot,0.7718065599616136,0.6905005107252298,0.6600431914426009,0.65,0.7363834422657952
deepseek-v4-flash,few_shot,0.7668195052214997,0.7240618101545254,0.700688419747625,0.7337807606263982,0.7145969498910676
deepseek-v4-flash,two_stage,0.7880774140131783,0.6731601731601732,0.6269501254540508,0.6688172043010753,0.6775599128540305
gpt-4.1,cot,0.7866466664538985,0.6918714555765596,0.6868848067462672,0.6110183639398998,0.7973856209150327
gpt-4.1,few_shot,0.7998903597168701,0.7151277013752456,0.6938984300054605,0.6511627906976745,0.7930283224400871
gpt-4.1,two_stage,0.7873420976503488,0.6922339405560882,0.6675445929035655,0.6181506849315068,0.7864923747276689
gpt-5.2,cot,0.7845841040771712,0.6761819803746654,0.6938090170148714,0.5725075528700906,0.8257080610021786
gpt-5.2,few_shot,0.741532270357611,0.6067415730337079,0.5852152841061593,0.502865329512894,0.7647058823529411
gpt-5.2,two_stage,0.7730772233934567,0.657433056325023,0.6278985507246377,0.5705128205128205,0.775599128540305
llama-3.3-70b,cot,0.30499119510079636,0.25259515570934254,0.19024190030671162,0.6134453781512605,0.15904139433551198
llama-3.3-70b,few_shot,0.402299676607977,0.3395638629283489,0.2734420698696083,0.5956284153005464,0.2374727668845316
llama-3.3-70b,two_stage,0.15450922509225093,0.12307692307692308,0.10943586725323161,0.5245901639344263,0.06971677559912855
qwen2.5-72b,cot,0.7361591131398761,0.6345609065155807,0.5908747564905964,0.56,0.7320261437908496
qwen2.5-72b,few_shot,0.7022946260057614,0.6134615384615385,0.5778258331756475,0.5490533562822719,0.6949891067538126
qwen2.5-72b,two_stage,0.7225460636515912,0.6261040235525025,0.5778431347410165,0.5696428571428571,0.6949891067538126
