model,display,span_f1,diff_vs_leader,p_raw,p_holm,in_leader_group
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.730624323478386,0.0,,,True
gpt-4.1_few_shot,GPT-4.1,0.7061870978386404,0.02439536565876693,0.0626,0.0626,True
gpt-5.1_few_shot,GPT-5.1,0.67451227903038,0.05623938476481057,0.0008,0.0024000000000000002,False
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.6742928296141675,0.05627759020148667,0.0,0.0,False
raquelsilveira_legalbertpt_fp__supervised,LegalBert-pt,0.6370258846842255,0.09422155895471702,0.0014,0.0028,False
alfaneo_bertimbaulaw-base-portuguese-cased__supervised,BERTimbauLaw,0.6224052689453057,0.10857182952129805,0.0,0.0,False
gpt-5.2_few_shot,GPT-5.2,0.5852152841061593,0.14499143847181856,0.0,0.0,False
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.5800917600159408,0.15147161441243295,0.0,0.0,False
qwen2.5-72b_few_shot,Qwen2.5-72B,0.5778258331756476,0.15280900448445067,0.0,0.0,False
alfaneo_jurisbert-base-portuguese-uncased__supervised,JurisBERT,0.5678204995955684,0.16302976155684198,0.0,0.0,False
dominguesm_legal-bert-base-cased-ptbr__supervised,Legal-BERT-STF,0.5350548485754807,0.1953781603758995,0.0,0.0,False
gpt-5-mini_few_shot,GPT-5-mini,0.5241862525134205,0.20620211793511875,0.0,0.0,False
bilstm-crf__supervised,BiLSTM-CRF,0.5004267892296832,0.23048321480512032,0.0,0.0,False
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.47779252952022405,0.2535065153334105,0.0,0.0,False
dccmpmgfinalisticas_GovBERT-BR__supervised,GovBERT-BR,0.4244517918899403,0.3064814291191772,0.0,0.0,False
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.4058135593605903,0.3254114564811724,0.0,0.0,False
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.3942714478112034,0.33551526141951715,0.0,0.0,False
ulysses-camara_legal-bert-pt-br__supervised,LegalBERTPT-br,0.3412289167101374,0.39063233496485444,0.0,0.0,False
llama-3.3-70b_few_shot,Llama-3.3-70B,0.2734420698696083,0.4570212296647309,0.0,0.0,False
