model,display,token_f1,token_f1_macro,token_precision,token_recall,span_f1,span_f1_macro,span_precision,span_recall
deepseek-v4-flash_few_shot,DeepSeek-V4-Flash,0.7668195052214997,0.7267627870897195,0.8223460344763116,0.7183172197543768,0.7240618101545254,0.700688419747625,0.7337807606263982,0.7145969498910676
gpt-4.1_few_shot,GPT-4.1,0.7998903597168701,0.7577425441474679,0.7898423817863398,0.8101972824666841,0.7151277013752456,0.6938984300054605,0.6511627906976745,0.7930283224400871
gpt-4.1-mini_few_shot,GPT-4.1-mini,0.7840542233500908,0.7438852401470275,0.7713066835203034,0.7972302064280115,0.698292220113852,0.6779125307149776,0.6184873949579832,0.8017429193899782
gpt-5.1_few_shot,GPT-5.1,0.7699709426951841,0.7365115219873013,0.7491888885455613,0.791938855500392,0.6846673095467696,0.67451227903038,0.6141868512110726,0.7734204793028322
neuralmind_bert-base-portuguese-cased__supervised,BERTimbau-base,0.7683311035345907,0.6318305667920537,0.9505579582465695,0.6447325535074059,0.6785714285714286,0.5800917600159408,0.7993527508090615,0.5894988066825776
qwen2.5-72b_few_shot,Qwen2.5-72B,0.7022946260057614,0.6581720482077866,0.7120795004364466,0.692775019597596,0.6134615384615385,0.5778258331756475,0.5490533562822719,0.6949891067538126
gpt-5.2_few_shot,GPT-5.2,0.741532270357611,0.7024047363308311,0.6952209455210656,0.7944538803240135,0.6067415730337079,0.5852152841061593,0.502865329512894,0.7647058823529411
rufimelo_Legal-BERTimbau-base__supervised,Legal-BERTimbau-base,0.6855267415522581,0.42421924019278123,0.9474222193828659,0.5370658747691305,0.6021180030257186,0.4058135593605903,0.8223140495867769,0.47494033412887826
neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-large,0.6820369072646578,0.5103063819240986,0.960650128314799,0.5287002498823018,0.6018237082066868,0.4777925295202241,0.8284518828451883,0.47255369928400953
bilstm-crf__supervised,BiLSTM-CRF,0.7307419410512589,0.5637528103126178,0.8454848014200134,0.6434215858435769,0.5925925925925926,0.5004267892296832,0.7741935483870968,0.48
gpt-5-mini_few_shot,GPT-5-mini,0.5720780494559385,0.621502597600692,0.4422895070208932,0.8096746799059316,0.40970654627539504,0.5241862525134205,0.27646610814927647,0.7908496732026143
gpt-4.1-nano_few_shot,GPT-4.1-nano,0.5635868717166288,0.4764975223867495,0.60060603820997,0.5308662137444473,0.4010989010989011,0.3650911855034305,0.3459715639810427,0.477124183006536
llama-3.3-70b_few_shot,Llama-3.3-70B,0.402299676607977,0.2788997879965319,0.7545152304789289,0.27426835641494646,0.3395638629283489,0.2734420698696083,0.5956284153005464,0.2374727668845316
